signatur,urheber,urheber_idn,titel,zusatztitel,technik,ort,verlag,jahr,blattmass,bildmass,reihe,preis,schlagwort,bemerkung,bemerkung2
Kbl 1960 C 83,"Ackermann, Max",118500473,Jubilieren,,Mehrfarb. Lichtdruck,Eßlingen a. N.,Fingerle & Co.,1957,940 x 685,650 x 500,,40.- DM (BRD),Abstrakte Malerei,,
Kbl 1967 C 41,"Ackermann, Max",118500473,Triumph der Freude,,Mehrfarb. Lichtdruck,Esslingen,Fingerle & Co.,1962,695 x 490,490 x 315,,35.- DM (BRD),Abstrakte Malerei,,
Kbl 1960 C 80,"Ackermann, Max",118500473,Über den Türmen,,Mehrfarb. Lichtdruck,Eßlingen a. N.,Fingerle & Co.,1958,620 x 485,450 x 350,,10.- DM (BRD),Abstrakte Malerei,,
Kbl 1957 C 86,"Ackermann, Max",118500473,Weißes Zeichen,,Mehrfarb. Lichtdruck,Dresden,Verl. d. Kunst,1957,620 x 500,500 x 400,"Gradus-Blätter, G 3159",20.- DM (DDR),Abstrakte Malerei,,
Kbl 1962 C 13,"D'Altri, Arnold",119230887,Idole,,Mehrfarb. Offsetdruck,"Viernheim, Zürich",Viernheim-Verl.,1962,480 x 600,400 x 567,,8.- DM (BRD),Abstrakte Malerei,"bei Abnahme von 6 Bildern u. mehr nach freier Wahl je Bild 6,- ; Mappe zum Aufbewahren 4,-",
Kbl 1974 C 64,"Antes, Horst",118503316,Zweiäugige Figur,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1973,605 x 490,510 x 400,,28.- DM (BRD),Abstrakte Malerei,,
Kbl 1968 C 71,"Aue, Marianne",,Vibrationen,Hrsg. V. Walter Aue,Orig.-Siebdruck,Köln,Hake,1967,400 x 400,,,Preis nicht mitgeteilt,Abstrakte Malerei,"1 Bl. Text, 5 Taf ; in Mappe",
Kbl 1949 A 205,"Baumeister, Willi",,Helle Bewegung,,Vierfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1949,325 x 250,240 x 185,,"2,50 DM (BRD)",Abstrakte Malerei,,
Kbl 1971 C 108,"Baumeister, Willi",,Bluxao V,,Mehrfarb. Lichtdruck,München,Bruckmann,1969,880 x 675,735 x 560,,60.- DM (BRD),Abstrakte Malerei,,
Kbl 1949 C 91,"Baumeister, Willy",,Eidos III,,Vierfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1947,440 x 580,405 x 498,,12.- RM,Abstrakte Malerei,,
Kbl 1949 A 206,"Baumeister, Willi",,Afrikanische Erzählungen,,Vierfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1949,325 x 250,240 x 185,,"2,50 DM (BRD)",Abstrakte Malerei,,
Kbl 1949 A 207,"Baumeister, Willi",,Bewegte Halde,,Vierfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1949,325 x 250,250 x 175,,"2,50 DM (BRD)",Abstrakte Malerei,,
Kbl 1949 A 208,"Baumeister, Willi",,Jour heureux,,Vierfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1949,325 x 250,240 x 190,,"2,50 DM (BRD)",Abstrakte Malerei,,
Kbl 1962 C 55,"Baumeister, Willi",,Kessaua mit Doppelring,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1962,700 x 800,580 x 700,,50.- DM (BRD),Abstrakte Malerei,,
Kbl 1949 B 471,"Baumeister, Willi",,Komposition auf braun,,Vierfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1949,250 x 323,200 x 238,,"2,50 (BRD)",Abstrakte Malerei,,
Kbl 1949 A 210,"Baumeister, Willi",,Mamre,,Vierfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1949,325 x 250,240 x 192,,"2,50 (BRD)",Abstrakte Malerei,,
Kbl 1949 A 211,"Baumeister, Willi",,Siduri,,Vierfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1949,325 x 250,240 x 205,,"2,50 (BRD)",Abstrakte Malerei,,
Kbl 1949 A 212,"Baumeister, Willi",,Zwei Weltalter,,Vierfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1949,324 x 250,240 x 193,,"2,50 (BRD)",Abstrakte Malerei,,
Kbl 1973 C 162,"Bissier, Julius",118511378,Nihil perdidi,,Mehrfarb. Lichtdruck,München,Piperdrucke,o.J.,635 x 720,440 x 480,,55,Abstrakte Malerei,,
Kbl 1973 C 81,"Bissier, Julius",118511378,Samengehäuse und Schreckauge,,Mehrfarb. Lichtdruck,München,Piperdrucke,o.J.,640 x 720,435 x 520,,55,Abstrakte Malerei,,
Kbl 1980 C 6,"Bock, Dieter",143996371,Versuch einer Integration,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1979,450 x 690,360 x 620,"Gradus-Blätter, G 3432",20.- DM (DDR),Abstrakte Malerei,,
Kbl 1974 C 72,"Bosch, Hieronymus",11851380X,Das Tausendjährige Reich,Ausschnitt : Die Musikantenhölle,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1974,500 x 620,390 x 570,"Dresdner Meisterdruck, M 1308",20.- DM (DDR),Abstrakte Malerei,,
Kbl 1958 A 239,"Braque, Georges",118514504,Die schwarzen Fische,,Mehrfarb. Lichtdruck,Dresden,Verl. d. Kunst,1958,300 x 400,180 x 300,"Sammlung kleiner Drucke, S. 26",4.- DM (DDR),Abstrakte Malerei,,
Kbl 1975 A 69 1-4,"Brauer, Johannes",1057113778,Abstrakt,Larifari. Konkludent. Sassanidisch. Urzeugung,Orig.-Farbholzschnitt,Leipzig,Scholle-Verlag,1975,330 x 210,160 x 110,,je 40.- DM (DDR),Abstrakte Malerei,4 Stück,
