signatur,urheber,idn,titel,zusatz,bem2,ort,verlag,entstehung,blatt,bild,reihe,preis,schlagwort,bemerkung,technik,motiv,idn_technik,mappe,grafiker,hrsg,hrsg2
Kbl 1965 B 13,"Gogh, Vincent van",118540416,Brücke in Arles,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1965,490 x 530,400 x 470,,10.- DM (DDR),"Bauliche Motive, Brücke",[Neuaufl.],Offsetdruck,,41333357,,,,
Kbl 1975 C 15,"Lingner, Max",118573292,Der Große Deutsche Bauernkrieg,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1975,580 x 1155,470 x 1055,"Gradus-Blätter, G 3351",30.- DM (DDR),Deutschland,,Lichtdruck,!041133005!,42736064,,,,
Kbl  SA 11659 - 5,"Barlach, Ernst",118506617,Christus in Gethsemane II.,,"Kreidezeichnung, Lichtdruck",[Bremen],Ernst Barlach Gesellschaft,1949,265x350,230x320,Mitgliedergabe d. Ernst Barlach Gesellschaft 5,"Für Nichtmitglieder 5,00",Neues Testament,,Lichtdruck,,42736064,,,,
Kbl 1953 A 434,"[Bade, Bruno]",,H. Jendretzky,,Lichtdruckähnliche Reproduktion,[Berlin],[Graphokopie],1953,300 x 235,165 x 120,,"in Passepartout 4,30 DM",Benannte Bildnisse ; I/J,"41 x 30 (24 x 18) cm 5,50; 49 x 36,5 (30 x 24) cm 7,80; 61 x 43 (40 x 30) cm 11.-; 75 x 58 (50 x 40) cm 18,50; 95 x 70 (60 x 50) cm 27,50; Werkstudien 75 x 58 (50 x 40) cm 23.-; Übergrößen: 100 x 75 cm 30.-; 120 x 90 cm 32.-",Lichtdruck,,42736064,,,,
Kbl 1971 C 156,"Pechstein, Max",118592335,Rote Häuser,,Mehrfarb. Lichtdruck,München,Hanfstaengl,,740 x 950,620 x 840,,60.-,"Bauliche Motive, Häuser, Hütten",,Lichtdruck,!963557173!,42736064,,,,
Kbl 1960 A 8,"Gruner, Erich",119252686,Gautschen und Pressen des Papiers,"Blatt 4 der Folge ""Papierer""",Orig.-Radierung,[Leipzig],[Sieler & Vogel],1959,150 x 205,75 x 90,,20.- DM (DDR),Ständebilder,,Radierung,,40481662,,,,
Kbl 1953 A 389,Leonardo da Vinci,118640445,Christus,,Mehrfarb. Autotypie,München,Ackermann,[1953],330x245,280x215,Nr 2880 F.,2.5,Christus-Bilder,,Autotypie,,41437233,,,,
Kbl 1948 B 2,,,Wladimir Iljitsch Lenin,[Porträt],Tiefdruck,Berlin [Leipzig],"SWA-Verl. [Auslfg: Vertrieb f. Wiss. U. Lit., Leipzig]",1948,300 x 400,210 x 265,,"0,50 RM",Benannte Bildnisse ; L,,Tiefdruck,,04060053X,,,,
Kbl 1941 C 95,"Wauters, Jef",1012500322,Petite maman,,Mehrfarb. Lichtdruck,München,Bruckmann,1963,730 x 600,595 x 495,,40.- DM (BRD),Mädchenbilder,,Lichtdruck,!042497426!,42736064,,,,
Kbl 1943 A 1,"Menzel, Adolf von",118580914,Abendgesellschaft,,Farbenlichtdr.,Berlin,Reichsdruckerei [Abt. Verl.],1943,550 x 430,390 x 250,Reichsdruck. 1180,12,Gartenbilder,,Lichtdruck,!041213106!,42736064,,,,
Kbl 1943 A 10,"Grünewald, Matthias",118542907,Das Engelkonzert und Maria mit dem Kinde,,Vierfarbendruck,München,F. Bruckmann,1943,270 x 205,180 x 160,,"0,65 DM (BRD)",Marienbilder,,Farbdruck,,41536959,,,,
Kbl 1943 A 101/1936,"Eyck, Jan van",118531557,Giovanni Arnolfini und seine Frau,,Dreifarbendruck,Leipzig,"Verlag ""Meister der Farbe"" [jetzt: Seemann und Co]",1943,205 x 285,180 x 245,"Die Galerien Europas, 1936",1.- RM,Benannte Bildnisse ; A,,Farbdruck,,41536959,,,,
Kbl 1943 A 101/1937,"Bellini, Giovanni",118508679,Doge Leonardo Loredano,,Dreifarbendruck,Leipzig,"Verlag ""Meister der Farbe"" [jetzt: Seemann und Co]",1943,205 x 285,180 x 250,"Galerien Europas, 1937",1.- RM,Benannte Bildnisse ; L,,Farbdruck,,41536959,,,,
Kbl 1943 A 101/1938,"Rubens, Peter Paul",11860354X,Susanne Fourment [Chapeau de paille],,Dreifarbendruck,Leipzig,"Verlag ""Meister der Farbe"" [jetzt: Seemann und Co]",1943,200 x 285,175 x 250,"Die Galerien Europas, 1938",1.- RM,Benannte Bildnisse ; F,,Farbdruck,,41536959,,,,
